CONCLIENTE,dataNascimentoCliente,sexoCliente,CONINSCRICAO,CONPRODUTO,periodicidadeCobranca,parcelamento,CONITEMCONTRATADO,codigoSistemaItemContratado,dataInicioVigenciaCobertura,prazoContribuicao,prazoCobertura,prazoDecrescimoItemContratado,prazoCertoRendaItemContratado,prazoMinimoGarantidoRendaItemContratado,indiceReajusteItemContratado,valorCapitalSeguradoItemContratadoInicial,CONITEMCONTRATADOBENEFICIARIO,percentualParticipacaoBeneficio,CONBENEFICIARIO,dataNascimentoBeneficiario,sexoBeneficiario
3721288,1982-12-12,M,16286970,1074,MENSAL,1,95816007,204374,2022-01-16,10,9999,,,,IPCA,400000.0,1908424.0,50.0,3632152.0,2010-06-09,MASCULINO
7589182,1988-04-28,F,16294044,1072,MENSAL,1,95816015,204377,2022-01-16,25,25,,,,IPCA,500000.0,1908879.0,33.0,3632501.0,2020-09-07,MASCULINO
7589182,1988-04-28,F,16294044,1072,MENSAL,1,95816015,204377,2022-01-16,25,25,,,,IPCA,500000.0,1909286.0,33.0,3632502.0,2021-11-19,MASCULINO
7589182,1988-04-28,F,16294044,1072,MENSAL,1,95816015,204377,2022-01-16,25,25,,,,IPCA,500000.0,1909439.0,34.0,3632500.0,2012-11-10,MASCULINO
7299935,1976-09-01,F,16293508,1072,MENSAL,1,95816021,204377,2022-01-05,10,10,,,,IPCA,400000.0,1902334.0,100.0,3632455.0,1976-01-05,NÃO INFORMADO
7586570,1957-01-14,F,16287332,1074,MENSAL,1,95816026,204374,2022-01-05,10,9999,,,,IPCA,1700000.0,1910889.0,100.0,3632173.0,1984-12-05,MASCULINO
7586578,1987-03-05,M,16287069,1072,MENSAL,1,95816027,204377,2022-01-21,10,10,,,,IPCA,1000000.0,1910459.0,100.0,3632191.0,1987-12-16,NÃO INFORMADO
144775,1968-04-30,M,16287072,1072,MENSAL,1,95816197,204377,2022-01-21,20,20,,,,IPCA,400000.0,,,,,
2345092,1985-04-29,M,16290832,1072,MENSAL,1,95816201,204377,2022-02-11,10,10,,,,IPCA,1348079.34,1944518.0,100.0,3811.0,1990-09-15,NÃO INFORMADO
7588950,1998-08-10,F,16293833,1073,MENSAL,1,95816202,204373,2022-02-06,9999,9999,,,,IPCA,595437.07,1920953.0,34.0,3632477.0,1998-08-10,MASCULINO
